taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
2498246	Melanitta perspicillata (Linnaeus, 1758)	2498246	Melanitta perspicillata (Linnaeus, 1758)	519992	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Melanitta	2498237	Melanitta perspicillata	2498246
4408498	Crex crex (Linnaeus, 1758)	4408498	Crex crex (Linnaeus, 1758)	3595	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Crex	3242956	Crex crex	4408498
5230508	Hylophilus pectoralis P.L.Sclater, 1866	5230508	Hylophilus pectoralis P.L.Sclater, 1866	2532	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Vireonidae	9358	Hylophilus	9576765	Hylophilus pectoralis	5230508
5231356	Bradypterus sylvaticus Sundevall, 1860	5231356	Bradypterus sylvaticus Sundevall, 1860	270	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Locustellidae	6100825	Bradypterus	3242162	Bradypterus sylvaticus	5231356
5231680	Mimus gundlachii Cabanis, 1855	5231680	Mimus gundlachii Cabanis, 1855	4198	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Mimus	2494919	Mimus gundlachii	5231680
5232086	Glaucidium perlatum (Vieillot, 1817)	5232086	Glaucidium perlatum (Vieillot, 1817)	5522	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Glaucidium	2497151	Glaucidium perlatum	5232086
5788502	Nisaetus lanceolatus (Temminck & Schlegel, 1844)	5788502	Nisaetus lanceolatus (Temminck & Schlegel, 1844)	423	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Nisaetus	4847461	Nisaetus lanceolatus	5788502
5789022	Spelaeornis kinneari Delacour & Jabouille, 1930	5789022	Spelaeornis kinneari Delacour & Jabouille, 1930	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Timaliidae	3241609	Spelaeornis	2492922	Spelaeornis kinneari	5789022
5843953	Puffinus bailloni (Bonaparte, 1857)	5843953	Puffinus bailloni (Bonaparte, 1857)	559	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Procellariidae	9339	Puffinus	5229335	Puffinus bailloni	5843953
5845381	Lamprotornis regius (Reichenow, 1879)	5845381	Lamprotornis regius (Reichenow, 1879)	930	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Lamprotornis	2489069	Lamprotornis regius	5845381
